City,Location.1,Location_ID
New Capital City,Capital Heights 2,305
Cairo,Odyssia,306
Cairo,Swan Lake West,307
North Coast,Winter New Alamein,308
Cairo,Jazebeya,309
Cairo,1st District,310
Cairo,One Kattameya,311
Cairo,Garden Lakes,312
Cairo,El Banafseg 11,313
Alexandria,Gianaclis,314
Cairo,Village Gate Compound,315
Cairo,Marriott Residence,316
Cairo,Porto Heliopolis Compound,317
Cairo,Cairo Festival City Compound,318
Cairo,Nyoum October Compound,319
Cairo,Korba Heights,320
Red Sea,Blue Blue,321
Alexandria,Karmous,322
New Capital City,Armonia,323
Cairo,El Banafseg 4,324
Cairo,Banafsag Omarat,325
New Capital City,Celia,326
Cairo,13th District,327
Cairo,Midtown Compound,328
Cairo,Maadi Gardens,329
Cairo,Al Yasmine,330
Cairo,City Gate Compound,331
Cairo,Ain Shams,332
Damietta,Ras al-Bar,333
Cairo,Sky Condos Sodic Compound,334
Cairo,The Square Compound,335
North Coast,Stella Marina,336
Giza,Agouza,337
New Capital City,Stau,338
Cairo,Dyar Compound,339
Cairo,L’Avenir,340
Cairo,Casa Compound,341
Cairo,Arena City Towers Compound,342
Cairo,Sephora Heights,343
Cairo,North 90 Street,344
Alexandria,Bahray - Anfoshy,345
Hurghada,Makadi Heights,346
Cairo,Tamr Henna Compound,347
Cairo,EL Patio Casa,348
Alexandria,Asafra,349
Cairo,West Arabella Compound,350
Cairo,El Karnak Compound,351
Cairo,Hayah Residence,352
Cairo,Katameya,353
Cairo,Jewar Compound,354
Cairo,Creek Park Compound,355
Cairo,Belle Vie Compound,356
Cairo,Andalus,357
Cairo,Palm Hills Katameya Compound,358
Cairo,Palm hills golf extension Compound,359
Cairo,Moon Valley Compound,360
Cairo,El Yasmeen 1,361
North Coast,Amwaj,362
North Coast,Zoya Ghazala Bay,363
Cairo,Kattameya Gardens Compound,364
Cairo,The Address,365
Giza,Giza District,366
New Capital City,OIA,367
Cairo,3rd District,368
North Coast,Hacienda West,369
Cairo,Zamalek,370
North Coast,Seashell,371
Cairo,Naia West Compound,372
Cairo,Moon Valley 2,373
Cairo,Etapa Compound,374
North Coast,Seashore,375
Cairo,One 16 Compound,376
Cairo,El Yasmeen 7,377
Cairo,Al Diyar Compound,378
Cairo,Century City Compound,379
Cairo,October Plaza Sodic Compound,380
Cairo,El Banafseg 9,381
Cairo,Garden City,382
Cairo,Blue Tree Compound,383
Cairo,Orla Residence Compound,384
North Coast,Azha,385
Red Sea,The Groove,386
Cairo,El Banafseg 1,387
Alexandria,Mandara,388
North Coast,Mountain View North Coast,389
North Coast,Mountain View LVLS,390
Cairo,Operetta Greens,391
Cairo,Almazah,392
Alexandria,Seyouf,393
Cairo,The Axis Compound,394
Red Sea,La Vista 7,395
Cairo,Helmeyat El Zaytoun,396
North Coast,Downtown,397
North Coast,Fouka Bay,398
Cairo,Brix Compound,399
Alexandria,Palm Hills Alexandria,400
Cairo,EL Shouyfat,401
Matruh,North Coast,402
Cairo,3rd Settlement,403
Cairo,Dar al-Salaam,404
Cairo,Baron City,405
Cairo,El Yasmeen 6,406
North Coast,Alamein Towers,407
Cairo,Qasr al-Nil,408
Damietta,Ethmar Compound,409
Cairo,Degla View,410
Cairo,Boulaq Abo El Ela,411
North Coast,Jefaira,412
Cairo,El Yasmeen 3,413
Alexandria,Camp Caesar,414
Cairo,Continental Gardens Compound,415
Cairo,El Ashgar District Compound,416
Cairo,Zahraa Madinat Nasr,417
Dakahlia,Zahya,418
Cairo,2nd District,419
Cairo,Royal City Compound,420
Matruh,Dabaa,421
Cairo,Notion Compound,422
North Coast,Koun,423
Cairo,Dar Misr Compound,424
Cairo,Karma Residence Compound,425
Red Sea,Makadi Heights,426
North Coast,Mar Bay,427
Cairo,Gardenia Heights,428
New Capital City,IL Bosco,429
Cairo,Gardenia Compound,430
Cairo,Abasiya,431
Cairo,Tijan,432
North Coast,Telal North Coast,433
Cairo,Koronfel Heights Compound,434
Alexandria,Valore Antoniades,435
Red Sea,Telal Sokhna,436
North Coast,Ras Al Hekma,437
North Coast,Gaia,438
Cairo,Arabia Compound,439
Cairo,El Yasmeen 4,440
Cairo,Kattameya Gate,441
North Coast,Al Shorouk,442
Alexandria,Victoria,443
Cairo,Bab al-Shereia,444
Cairo,Helmeya al-Gadeda,445
Cairo,ABHA Compound,446
Cairo,Smart Life Compound,447
Cairo,Mena Residence Compound,448
Alexandria,Abu Talat,449
Cairo,Ivoire East Compound,450
Cairo,The Estates Compound,451
New Capital City,De Joya,452
Cairo,Maadi Grand City,453
Cairo,Go Heliopolis Compound,454
Cairo,North Investors,455
Cairo,Shubra,456
Sharqia,Zagazig,457
Cairo,Green 5 Compound,458
Cairo,Village Gardens Katameya Compound,459
Cairo,Aeon,460
New Capital City,The Loft,461
Cairo,Degla Landmark Compound,462
Cairo,Alca New Cairo Compound,463
Cairo,Porto New Cairo - Nyoum Compound,464
North Coast,Bungalows,465
Cairo,The Courtyards Compound,466
Cairo,Yellow residence Compound,467
Cairo,Knights,468
Cairo,Mar Ville New Zayed,469
Ismailia,Ismailia City,470
Cairo,Neopolis,471
Cairo,Degla Towers Compound,472
Dakahlia,The Pearl,473
Cairo,Eelaf Residence Compound,474
Cairo,Katameya Plaza Compound,475
New Capital City,Residence 8,476
Cairo,GCR Golf City,477
North Coast,June Sodic,478
Cairo,Green Oasis,479
Suez,Suez District,480
North Coast,South Med,481
Cairo,Haram City Compound,482
Cairo,Al Wahat Road,483
Cairo,Leila Compound,484
Cairo,El Banafseg 7,485
Cairo,Beta Gardens,486
Cairo,Al Bashayer District,487
Cairo,El Shorouk 2000,488
Cairo,Riviera Heights Compound,489
Cairo,Nakheel Residence,490
Cairo,New Nozha,491
Cairo,Nyoum Pyramids,492
Cairo,Green Hills,493
North Coast,Cleopatra,494
Cairo,Art City,495
Cairo,Mountain View Executive Compound,496
New Capital City,Scene 7,497
Cairo,Forty West - Sodic Compound,498
Cairo,Cleo East Compound,499
Cairo,Green 3 Compound,500
Alexandria,Safwa Dream,501
Cairo,The View Compound,502
Cairo,Dreamland Compound,503
Cairo,Swan Lake Katameya Compound,504
Cairo,Jayd Compound,505
Cairo,Tura,506
Cairo,American University Housing,507
New Capital City,Downtown,508
Alexandria,Raml Station,509
New Capital City,Sky Capital,510
Cairo,Zizinia El Mostakbal,511
Alexandria,Manshiyya,512
Cairo,El Karma 4 Compound,513
Cairo,Skyline,514
Cairo,PX Palm Hills,515
Minya,Minya City,516
Beheira,Damanhour,517
New Capital City,Ray Residence,518
Dakahlia,New Mansoura,519
Cairo,El Yasmeen 2,520
Cairo,Salam City,521
North Coast,El Masyaf,522
Cairo,Zizinia Gardens Compound,523
Cairo,Opera City Compound,524
Cairo,Ramses + Ramses Extension,525
North Coast,El Maadi,526
Alexandria,King Mariout,527
Cairo,Grand Gate,528
Matruh,Marsa Matrouh,529
New Capital City,Yaru,530
Cairo,The Gate Plaza,531
North Coast,Hacienda White,532
Cairo,Gharb Golf & Extension Compound,533
New Capital City,The City,534
Cairo,Joya Compound,535
Cairo,La Mirada Compound,536
North Coast,El Zohour,537
Cairo,Heliopolis Residence,538
Cairo,Turath Villas,539
Cairo,City View Compound,540
Giza,Tersa,541
North Coast,Hacienda Waters,542
New Capital City,Capital Gardens,543
Cairo,Abu Al-Hool,544
Cairo,Belva,545
Cairo,Ezbet El Nakhl,546
Cairo,Stone Residence,547
Cairo,Rehab October City,548
Red Sea,IL Monte Galala,549
Cairo,Nile Boulevard Compound,550
North Coast,Plage,551
Cairo,Mountain View Chillout Park Compound,552
New Capital City,Pukka,553
Red Sea,Aroma Residence,554
Cairo,Arkan Plaza,555
North Coast,Blumar North Coast,556
Cairo,Rayos Compound,557
Cairo,EL Patio 5,558
Cairo,Rawdat Zayed Compound,559
Red Sea,Marsa Alam,560
New Capital City,Il Mondo,561
Giza,Imbaba,562
Cairo,Royal Maxim Compound,563
New Capital City,Anakaji,564
Cairo,Nakheel Compound,565
Cairo,El Banafseg 12,566
North Coast,Direction White,567
Cairo,Masr al-Kadema,568
Cairo,Granda Life,569
Cairo,Rock Eden,570
North Coast,Alura,571
North Coast,Marseilia Beach 4,572
Cairo,Mirage City Compound,573
Cairo,Ritage Compound,574
Alexandria,Wardian,575
Cairo,Golden Square,576
Giza,Kit Kat,577
Cairo,Zayed 2000 Compound,578
North Coast,Porto Golf Marina,579
